STRING,LEN,FREQ,Orth,Orth_F,N1_F,N1_C,N2_F,N2_C,N3_F,N3_C,UN1_F,UN1_C,UN2_F,UN2_C,UN3_F,UN3_C,bad,frequencyBin,Pseudohomophone,category,ELP_FreqHAL,ELP_OrthN,ELP_PhonoN,ELP_MeanOrthNFreq,ELP_Concreteness,ELP_EmotionalValence,ELP_EmotionalArousal,ELP_MeanBigramCount,ELP_NPhonemes,ELP_NSyllables,ELP_PartOfSpeech,ELP_MeanRT,ELP_MeanAcc,ELPMeanAcc
leair,5,0,0,0,8757.52,357.6,2348.19,43.25,301.57,6,324286.38,44490.8,19014.67,2754.25,1589.21,187.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
leams,5,0,9,7.69,8204.28,595.2,1498.67,58,286.22,12.67,287910.4,40064.2,15818.41,2578.75,1305.96,177.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
leats,5,0,12,7.76,9041.67,638.6,1705.64,92.5,404.03,16,345804.25,44759.4,26776.26,4527.5,2383.14,277.33,NaN,0,NaN,pseudo,NaN,10,NaN,2604.5,NaN,NaN,NaN,NaN,NaN,NaN,,796.087,NaN,0.719
leeae,5,0,0,0,10818.72,379.2,1011.53,37,0.91,1.33,423135.68,52330.6,16999.58,2470.25,129.99,40.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
leere,5,0,2,0.15,11718.87,378.8,2902.67,43.5,1427.43,4.67,395359.6,51825.8,41312.93,6297,4494.83,358.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
levin,5,0,2,4.4,5929.11,253.4,969.91,22.75,74.13,2,264920.34,37147.4,30713.74,5076.75,1017.94,164.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
limer,5,0,8,2.47,9237.14,419.6,2548.43,74.5,147.38,8.33,268474.15,39063.4,30927.8,5057,1701.47,259,NaN,0,NaN,pseudo,NaN,5,NaN,2884.25,NaN,NaN,NaN,NaN,NaN,NaN,,890.481,NaN,0.818
lirry,5,0,1,7.62,7357.77,380.2,1127.91,36.25,144.51,6,208202.76,33104.4,10647.52,2015.75,287.17,70.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
livel,5,0,5,95.31,7954.52,394.2,1336.39,50.25,462.22,11.33,241584.6,35239,18368.99,3035,2665.85,462.33,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
livir,5,0,2,8.03,6962.24,264.6,1296.54,24.5,126.28,2.67,212984.65,34224.4,11387.52,2221.75,887.35,118.67,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
loair,5,0,0,0,10632.51,398.4,1394.41,32.75,47.38,2.67,284654.34,38458.4,9720.7,1493,580.17,117,NaN,0,NaN,pseudo,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,NaN,NaN
